,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_128_100,0.5,8,0.8064516129032258,0.7142857142857143
1,superglue-cb_128_100,0.4,8,0.7338709677419355,0.625
2,superglue-cb_128_100,0.3,8,0.6935483870967742,0.6071428571428571
3,superglue-cb_128_100,0.2,8,0.6290322580645161,0.5357142857142857
4,superglue-cb_128_100_best,0.5,8,0.8064516129032258,0.7142857142857143
5,superglue-cb_128_13,0.5,8,0.7016129032258065,0.6428571428571429
6,superglue-cb_128_13,0.4,8,0.6129032258064516,0.5714285714285714
7,superglue-cb_128_13,0.3,8,0.75,0.6785714285714286
8,superglue-cb_128_13,0.2,8,0.7419354838709677,0.75
9,superglue-cb_128_13_best,0.3,8,0.75,0.6785714285714286
10,superglue-cb_128_21,0.5,8,0.5483870967741935,0.5178571428571429
11,superglue-cb_128_21,0.4,8,0.6774193548387096,0.6964285714285714
12,superglue-cb_128_21,0.3,8,0.6935483870967742,0.6071428571428571
13,superglue-cb_128_21,0.2,8,0.6854838709677419,0.6964285714285714
14,superglue-cb_128_21_best,0.3,8,0.6935483870967742,0.6071428571428571
15,superglue-cb_128_42,0.5,8,0.7580645161290323,0.5535714285714286
16,superglue-cb_128_42,0.4,8,0.7258064516129032,0.6607142857142857
17,superglue-cb_128_42,0.3,8,0.7338709677419355,0.6428571428571429
18,superglue-cb_128_42,0.2,8,0.7096774193548387,0.5
19,superglue-cb_128_42_best,0.5,8,0.7580645161290323,0.5535714285714286
20,superglue-cb_128_87,0.5,8,0.5725806451612904,0.5
21,superglue-cb_128_87,0.4,8,0.7903225806451613,0.6964285714285714
22,superglue-cb_128_87,0.3,8,0.6451612903225806,0.5535714285714286
23,superglue-cb_128_87,0.2,8,0.6370967741935484,0.375
24,superglue-cb_128_87_best,0.4,8,0.7903225806451613,0.6964285714285714
