,prefix,lr,bsz,dev_performance,test_performance
0,anli_16_100,0.5,8,0.3111111111111111,0.3284980965289102
1,anli_16_100,0.4,8,0.35044283413848637,0.3221972537793627
2,anli_16_100,0.3,8,0.3521825396825397,0.31736483044515124
3,anli_16_100,0.2,8,0.33898448043184887,0.18224332543478364
4,anli_16_100_best,0.3,8,0.3521825396825397,0.31736483044515124
5,anli_16_13,0.5,8,0.33842746400885937,0.1245015764092755
6,anli_16_13,0.4,8,0.39994425863991084,0.14685633442411974
7,anli_16_13,0.3,8,0.3542087542087542,0.1628192535166647
8,anli_16_13,0.2,8,0.32424877707896577,0.14934961745042732
9,anli_16_13_best,0.4,8,0.39994425863991084,0.14685633442411974
10,anli_16_21,0.5,8,0.33147872592784283,0.23585728789830201
11,anli_16_21,0.4,8,0.24973942047112777,0.10599030814719942
12,anli_16_21,0.3,8,0.3679095762429096,0.1492733370735851
13,anli_16_21,0.2,8,0.34807987711213517,0.10057203998608653
14,anli_16_21_best,0.3,8,0.3679095762429096,0.1492733370735851
15,anli_16_42,0.5,8,0.33151849463906197,0.09664864802761566
16,anli_16_42,0.4,8,0.3918003565062389,0.11513917369180528
17,anli_16_42,0.3,8,0.3803418803418803,0.2485764427219957
18,anli_16_42,0.2,8,0.2491073612130105,0.13765767002865478
19,anli_16_42_best,0.4,8,0.3918003565062389,0.11513917369180528
20,anli_16_87,0.5,8,0.3958333333333333,0.2604845576180288
21,anli_16_87,0.4,8,0.4174525745257453,0.09465095609514618
22,anli_16_87,0.3,8,0.2914862914862915,0.19290469244723676
23,anli_16_87,0.2,8,0.3854332801701223,0.23257785293927746
24,anli_16_87_best,0.4,8,0.4174525745257453,0.09465095609514618
